NAME	VERSION	CATEGORY	STATUS	APPLIED	VALID	CONFLICT	OLD_PATH	SECURITY	DEPENDS_ON	SUPERSEDES	ACTION
coffee-edge-v003	003	NETWORK	REVIEW	UNKNOWN	NO_DIFF	NO	NO	NO	NONE	NONE	REVIEW
coffee-proxy-v003	003	OTA	REVIEW	UNKNOWN	NO_DIFF	NO	NO	NO	NONE	NONE	REVIEW
robot-audit-v001	001	NETWORK	REVIEW	UNKNOWN	NO_DIFF	NO	NO	NO	NONE	NONE	KEEP
robot-coffee-final-v005	005	NETWORK	REVIEW	UNKNOWN	NO_DIFF	NO	NO	NO	NONE	NONE	REVIEW
robot-network-audit-v002	002	NETWORK	REVIEW	UNKNOWN	NO_DIFF	YES	NO	NO	NONE	NONE	REVIEW
vswitch-opnsense-repair-v006	006	ICONS	REVIEW	UNKNOWN	NO_DIFF	NO	NO	NO	NONE	NONE	REVIEW
wireguard-opnsense-public-v001	001	NETWORK	SECURITY_REVIEW	UNKNOWN	NO_DIFF	YES	NO	YES	NONE	NONE	SECURITY_REVIEW
worm-ai-v001	001	SYSTEM_UI	BROKEN	UNKNOWN	INVALID_PATCH	NO	YES	NO	NONE	NONE	BROKEN
worm-logs-v001	001	NETWORK	SUPERSEDED	UNKNOWN	NO_DIFF	NO	NO	NO	NONE	NONE	SUPERSEDED
worm-logs-v004	004	FONT	REVIEW	UNKNOWN	NO_DIFF	NO	NO	NO	NONE	worm-logs-v001	REVIEW
worm-machinallm-beta-v01-ai	01	NETWORK	SECURITY_REVIEW	UNKNOWN	NO_DIFF	NO	YES	YES	NONE	NONE	SECURITY_REVIEW
worm-machinallm-beta-v01-release	01	SYSTEM_UI	SECURITY_REVIEW	UNKNOWN	NO_DIFF	NO	YES	YES	NONE	NONE	SECURITY_REVIEW
worm-machinallm-beta-v01-sftp	01	APP	REVIEW	UNKNOWN	NO_DIFF	NO	YES	NO	NONE	NONE	REVIEW
worm-machinallm-beta-v01-ssh	01	SYSTEM_UI	SECURITY_REVIEW	UNKNOWN	NO_DIFF	NO	YES	YES	NONE	NONE	SECURITY_REVIEW
worm-machinallm-v001	001	SYSTEM_UI	SUPERSEDED	UNKNOWN	NO_DIFF	NO	YES	NO	NONE	NONE	SUPERSEDED
worm-machinallm-v001-base	001	SYSTEM_UI	SUPERSEDED	UNKNOWN	NO_DIFF	NO	YES	NO	NONE	NONE	SUPERSEDED
worm-machinallm-v002-ui	002	SYSTEM_UI	SUPERSEDED	UNKNOWN	NO_DIFF	NO	YES	NO	NONE	NONE	SUPERSEDED
worm-machinallm-v003-core	003	SYSTEM_UI	SUPERSEDED	UNKNOWN	NO_DIFF	NO	YES	NO	NONE	NONE	SUPERSEDED
worm-machinallm-v004-service	004	SYSTEM_UI	SUPERSEDED	UNKNOWN	NO_DIFF	NO	YES	NO	NONE	NONE	SUPERSEDED
worm-machinallm-v005-package	005	SYSTEM_UI	SUPERSEDED	UNKNOWN	NO_DIFF	NO	YES	NO	NONE	NONE	SUPERSEDED
worm-machinallm-v006-audit	006	SYSTEM_UI	SUPERSEDED	UNKNOWN	NO_DIFF	NO	YES	NO	NONE	NONE	SUPERSEDED
worm-machinallm-v007-apk	007	SYSTEM_UI	SECURITY_REVIEW	UNKNOWN	NO_DIFF	NO	YES	YES	NONE	worm-machinallm-v001;worm-machinallm-v001-base;worm-machinallm-v002-ui;worm-machinallm-v003-core;worm-machinallm-v004-service;worm-machinallm-v005-package;worm-machinallm-v006-audit	SECURITY_REVIEW
worm-machinallm-v008-ui-fix	008	SYSTEM_UI	SECURITY_REVIEW	UNKNOWN	NO_DIFF	NO	YES	YES	NONE	worm-machinallm-v001;worm-machinallm-v001-base;worm-machinallm-v002-ui;worm-machinallm-v003-core;worm-machinallm-v004-service;worm-machinallm-v005-package;worm-machinallm-v006-audit	SECURITY_REVIEW
worm-opt-cleanup-v002	002	NETWORK	SECURITY_REVIEW	UNKNOWN	NO_DIFF	NO	YES	YES	NONE	NONE	SECURITY_REVIEW
worm-opt-global-audit-v003	003	SYSTEM_UI	SECURITY_REVIEW	UNKNOWN	NO_DIFF	NO	YES	YES	NONE	NONE	SECURITY_REVIEW
